ID,Name,Concepticon_ID,Concepticon_Gloss
2_agouti,AGOUTI,313,AGOUTI
3_all,ALL,98,ALL
7_animal,ANIMAL,619,ANIMAL
9_anteater,ANTEATER,181,ANTEATER
11_arm,ARM,1673,ARM
12_armadillo,ARMADILLO,1885,ARMADILLO
17_arrow,ARROW,977,ARROW
20_ash,ASH,646,ASH
24_axe,AXE,677,AXE
28_back,BACK,1291,BACK
29_bad,BAD,1292,BAD
31_bamboo,BAMBOO,1927,BAMBOO
36_basket,BASKET,1539,BASKET
37_bat,BAT,1793,BAT
38_beak,BEAK,73,BEAK
39_bean,BEAN,832,BEAN
40_beard,BEARD,678,BEARD
43_bee,BEE,665,BEE
44_beetle,BEETLE,2242,BEETLE
45_belly,BELLY,1251,BELLY
47_belt,BELT,772,BELT
49_big,BIG,1202,BIG
52_bird,BIRD,937,BIRD
53_bite,BITE,1403,BITE
54_bitter,BITTER,887,BITTER
55_black,BLACK,163,BLACK
56_blood,BLOOD,946,BLOOD
57_blow,BLOW,,
59_boil,BOIL,2493,BOIL
60_bone,BONE,1394,BONE
63_boy,BOY,1366,BOY
66_breast,BREAST,1402,BREAST
67_breathe,BREATHE,1407,BREATHE
69_brother,BROTHER,1262,BROTHER
70_brotherinlaw,BROTHER-IN-LAW,2314,BROTHER-IN-LAW
72_buriti,BURITI,,BURITI
73_burn,BURN,2102,BURN
74_butterfly,BUTTERFLY,1791,BUTTERFLY
75_buttocks,BUTTOCKS,834,BUTTOCKS
78_canoe,CANOE,1970,CANOE
79_capybara,CAPYBARA,314,CAPYBARA
80_cashew,CASHEW,2441,CASHEW
82_caterpillar,CATERPILLAR,2247,CATERPILLAR
84_centipede,CENTIPEDE,1974,CENTIPEDE
85_cheek,CHEEK,1730,CHEEK
90_child,CHILD,2099,CHILD
91_chin,CHIN,1510,CHIN
92_cicada,CICADA,2353,CICADA
93_claw,CLAW,72,CLAW
94_cloud,CLOUD,1489,CLOUD
96_cob,COB,,
98_cold,COLD,1287,COLD
100_comb,COMB,1475,COMB
102_corn,CORN,,
103_cotton,COTTON,1850,COTTON
104_cough,COUGH,879,COUGH
106_cousin,COUSIN,1643,COUSIN
107_crab,CRAB,2348,CRAB
108_cricket,CRICKET,2354,CRICKET
109_crooked,CROOKED,297,CROOKED
110_cross,CROSS,1367,CROSS
111_cry,CRY,1839,CRY
112_curassow,CURASSOW,315,CURASSOW
114_cut,CUT,1432,CUT
115_dance,DANCE,1879,DANCE
116_daughter,DAUGHTER,1357,DAUGHTER
117_day,DAY,,
119_deer,DEER,1936,DEER
120_die,DIE,1494,DIE
121_dig,DIG,1418,DIG
122_dirty,DIRTY,1230,DIRTY
128_dove,DOVE,1853,DOVE
130_drink,DRINK,1401,DRINK
