ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
xokleng-85_cheek-1,,xokleng,85_cheek,j ɔ m ã,j ɔ m ã,,,,325,,,
kaingang-527_take-1,,kaingang,527_take,m/b a,m/b a,,,,1743,,,
xokleng-527_take-1,,xokleng,527_take,m/b ɔ,m/b ɔ,,,,1743,,,
ingain-291_moon-1,,ingain,291_moon,p ɨ ɾ,p ɨ ɾ,,,,1112,,,
ingain-430_tail-1,,ingain,430_tail,m/b ɨ,m/b ɨ,,,,1740,,,
kaingang-430_tail-1,,kaingang,430_tail,m/b ɨ,m/b ɨ,,,,1740,,,
xokleng-430_tail-1,,xokleng,430_tail,m/b ɨ,m/b ɨ,,,,1740,,,
ingain-528_goplural-1,,ingain,528_goplural,m õ,m õ,,,,748,,,
kaingang-528_goplural-1,,kaingang,528_goplural,m ũ,m ũ,,,,748,,,
xokleng-528_goplural-1,,xokleng,528_goplural,m ũ,m ũ,,,,748,,,
ingain-194_good-1,,ingain,194_good,m/b ɛ,m/b ɛ,,,,758,,,
kaingang-194_good-1,,kaingang,194_good,m/b ɛ,m/b ɛ,,,,758,,,
xokleng-194_good-1,,xokleng,194_good,m/b ɛ,m/b ɛ,,,,758,,,
ingain-391_sky-1,,ingain,391_sky,ɾ a u + m/b ɛ,ɾ a u + m/b ɛ,,,,1566,,,
kaingang-391_sky-1,,kaingang,391_sky,ẽ + m/b ɛ,ẽ + m/b ɛ,,,,1566,,,
kaingang-446_throw-1,,kaingang,446_throw,m ĩ,m ĩ,,,,1794,,,
kaingang-446_throw-2,,kaingang,446_throw,m ĩ n,m ĩ n,,,,1794,,,
kaingang-24_axe-1,,kaingang,24_axe,m/b ɛ ŋ,m/b ɛ ŋ,,,,99,,,
xokleng-24_axe-1,,xokleng,24_axe,m/b ɛ ŋ,m/b ɛ ŋ,,,,99,,,
kaingang-529_liquid-1,,kaingang,529_liquid,m/b ɛ,m/b ɛ,,,,1011,,,
xokleng-529_liquid-1,,xokleng,529_liquid,m/b ɛ,m/b ɛ,,,,1011,,,
kaingang-231_husband-1,,kaingang,231_husband,m/b ɛ n,m/b ɛ n,,,,885,,,
xokleng-231_husband-1,,xokleng,231_husband,m/b ɛ n,m/b ɛ n,,,,885,,,
ingain-20_ash-1,,ingain,20_ash,m/b ɾ a,m/b ɾ a,,,,89,,,
kaingang-20_ash-1,,kaingang,20_ash,m ɾ ẽ j,m ɾ ẽ j,,,,89,,,
xokleng-20_ash-1,,xokleng,20_ash,m l ã,m l ã,,,,89,,,
kaingang-530_argentinianant-1,,kaingang,530_argentinianant,m/b ɾ ɔ ŋ j ɨ,m/b ɾ ɔ ŋ j ɨ,,,,65,,,
kaingang-106_cousin-1,,kaingang,106_cousin,j a m/b ɾ ɛ,j a m/b ɾ ɛ,,,,412,,,
kaingang-531_genre-1,,kaingang,531_genre,j a m/b ɾ ɛ,j a m/b ɾ ɛ,,,,724,,,
kaingang-70_brotherinlaw-1,,kaingang,70_brotherinlaw,j ɔ m/b l ɛ,j ɔ m/b l ɛ,,,,260,,,
xokleng-532_fatherinlaw-1,,xokleng,532_fatherinlaw,j ɔ m/b l ɛ,j ɔ m/b l ɛ,,,,635,,,
xokleng-533_motherinlaw-1,,xokleng,533_motherinlaw,j ɔ m/b l ɛ,j ɔ m/b l ɛ,,,,1124,,,
kaingang-473_walk-1,,kaingang,473_walk,w ẽ,w ẽ,,,,1906,,,
xokleng-473_walk-1,,xokleng,473_walk,v ã,v ã,,,,1906,,,
kaingang-366_rotten-1,,kaingang,366_rotten,w ə,w ə,,,,1442,,,
ingain-534_taquara-1,,ingain,534_taquara,w ə n,w ə n,,,,1755,,,
kaingang-459_tree-1,,kaingang,459_tree,w õ n,w õ n,,,,1848,,,
