ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
gaviaopyhcopji-135_ear-1,,gaviaopyhcopji,135_ear,j a p a k,j a p a k,,,,553,,,
mebengokre-156_fear-1,,mebengokre,156_fear,p y m a,p y m a,,,,637,,,
mebengokre-156_fear-2,,mebengokre,156_fear,ĵ u m a,ĵ u m a,,,,637,,,
apinaye-156_fear-1,,apinaye,156_fear,p y m/b a,p y m/b a,,,,637,,,
kisedje-156_fear-1,,kisedje,156_fear,w y m/b a,w y m/b a,,,,637,,,
tapayuna-156_fear-1,,tapayuna,156_fear,w̃ a,w̃ a,,,,637,,,
parkateje-156_fear-1,,parkateje,156_fear,p a,p a,,,,637,,,
canelakraho-156_fear-1,,canelakraho,156_fear,p a,p a,,,,637,,,
gaviaopyhcopji-156_fear-1,,gaviaopyhcopji,156_fear,p a,p a,,,,637,,,
mebengokre-107_crab-1,,mebengokre,107_crab,m a j,m a j,,,,416,,,
apinaye-107_crab-1,,apinaye,107_crab,m/b a j,m/b a j,,,,416,,,
canelakraho-107_crab-1,,canelakraho,107_crab,p a j,p a j,,,,416,,,
mebengokre-659_scorpion-1,,mebengokre,659_scorpion,m a k,m a k,,,,1473,,,
apinaye-659_scorpion-1,,apinaye,659_scorpion,m/b a k + r e,m/b a k + r e,,,,1473,,,
tapayuna-659_scorpion-1,,tapayuna,659_scorpion,w̃ a t,w̃ a t,,,,1474,,,
canelakraho-659_scorpion-1,,canelakraho,659_scorpion,p a k,p a k,,,,1473,,,
gaviaopyhcopji-659_scorpion-1,,gaviaopyhcopji,659_scorpion,p a k + r e,p a k + r e,,,,1473,,,
gaviaopyhcopji-659_scorpion-2,,gaviaopyhcopji,659_scorpion,p a k + t e̤,p a k + t e̤,,,,1473,,,
mebengokre-1016_jaw-1,,mebengokre,1016_jaw,j a m a,j a m a,,,,927,,,
apinaye-91_chin-1,,apinaye,91_chin,ñ ã m,ñ ã m,,,,341,,,
parkateje-91_chin-1,,parkateje,91_chin,j a m a,j a m a,,,,342,,,
canelakraho-91_chin-1,,canelakraho,91_chin,j a m a,j a m a,,,,342,,,
gaviaopyhcopji-91_chin-1,,gaviaopyhcopji,91_chin,j a m a,j a m a,,,,342,,,
mebengokre-40_beard-1,,mebengokre,40_beard,j a m a + ô,j a m a + ô,,,,159,,,
apinaye-40_beard-1,,apinaye,40_beard,j a m/b + ô,j a m/b + ô,,,,159,,,
kisedje-40_beard-1,,kisedje,40_beard,j a m + s ô,j a m + s ô,,,,159,,,
tapayuna-40_beard-1,,tapayuna,40_beard,j a m + t ô,j a m + t ô,,,,159,,,
parkateje-40_beard-1,,parkateje,40_beard,j a m a + h ô,j a m a + h ô,,,,159,,,
canelakraho-40_beard-1,,canelakraho,40_beard,j a m a + h ô,j a m a + h ô,,,,159,,,
parkateje-913_eatintransitive-1,,parkateje,913_eatintransitive,ə + p ə,ə + p ə,,,,562,,,
parkateje-913_eatintransitive-2,,parkateje,913_eatintransitive,j ə + p ə n,j ə + p ə n,,,,562,,,
canelakraho-913_eatintransitive-1,,canelakraho,913_eatintransitive,a + p ə,a + p ə,,,,562,,,
canelakraho-913_eatintransitive-2,,canelakraho,913_eatintransitive,j ə + p ə n,j ə + p ə n,,,,562,,,
gaviaopyhcopji-913_eatintransitive-1,,gaviaopyhcopji,913_eatintransitive,aː + p ə,aː + p ə,,,,562,,,
gaviaopyhcopji-913_eatintransitive-2,,gaviaopyhcopji,913_eatintransitive,j əː + p ə n,j əː + p ə n,,,,562,,,
mebengokre-809_gnaw-1,,mebengokre,809_gnaw,k u m ə,k u m ə,,,,744,,,
mebengokre-809_gnaw-2,,mebengokre,809_gnaw,k u m ə ñ,k u m ə ñ,,,,744,,,
apinaye-809_gnaw-1,,apinaye,809_gnaw,k u m/b ə,k u m/b ə,,,,744,,,
apinaye-809_gnaw-2,,apinaye,809_gnaw,k u m/b ə ñ,k u m/b ə ñ,,,,744,,,
parkateje-809_gnaw-1,,parkateje,809_gnaw,k u p ə,k u p ə,,,,744,,,
parkateje-809_gnaw-2,,parkateje,809_gnaw,k u p ə j,k u p ə j,,,,744,,,
canelakraho-809_gnaw-1,,canelakraho,809_gnaw,k u p ə,k u p ə,,,,744,,,
canelakraho-809_gnaw-2,,canelakraho,809_gnaw,k u p ə n,k u p ə n,,,,744,,,
gaviaopyhcopji-809_gnaw-1,,gaviaopyhcopji,809_gnaw,k o̤ː p ə,k o̤ː p ə,,,,744,,,
gaviaopyhcopji-809_gnaw-2,,gaviaopyhcopji,809_gnaw,k o̤ː p ə n,k o̤ː p ə n,,,,744,,,
mebengokre-768_branchofriver-1,,mebengokre,768_branchofriver,m ə t,m ə t,,,,236,,,
apinaye-1039_divert-1,,apinaye,1039_divert,m/b ə t,m/b ə t,,,,512,,,
kisedje-768_branchofriver-1,,kisedje,768_branchofriver,m/b ə t,m/b ə t,,,,236,,,
parkateje-1039_divert-1,,parkateje,1039_divert,p ə t,p ə t,,,,512,,,
canelakraho-665_rip-1,,canelakraho,665_rip,p ə t,p ə t,,,,1417,,,
mebengokre-305_night-1,,mebengokre,305_night,a + k a m ə t,a + k a m ə t,,,,1175,,,
apinaye-305_night-1,,apinaye,305_night,k a m/b ə t,k a m/b ə t,,,,1175,,,
kisedje-305_night-1,,kisedje,305_night,a + k a m/b ə t,a + k a m/b ə t,,,,1175,,,
tapayuna-305_night-1,,tapayuna,305_night,a + k a w̃ ə t,a + k a w̃ ə t,,,,1175,,,
parkateje-305_night-1,,parkateje,305_night,a j + k a p ə t,a j + k a p ə t,,,,1175,,,
canelakraho-305_night-1,,canelakraho,305_night,a w + k a p ə t,a w + k a p ə t,,,,1175,,,
gaviaopyhcopji-305_night-1,,gaviaopyhcopji,305_night,a w + k a p ə t,a w + k a p ə t,,,,1175,,,
mebengokre-277_macaw-1,,mebengokre,277_macaw,m ə n,m ə n,,,,1057,,,
apinaye-277_macaw-1,,apinaye,277_macaw,m/b ə n,m/b ə n,,,,1057,,,
kisedje-277_macaw-1,,kisedje,277_macaw,m/b ə n,m/b ə n,,,,1057,,,
tapayuna-277_macaw-1,,tapayuna,277_macaw,w̃ ə t,w̃ ə t,,,,1058,,,
parkateje-277_macaw-1,,parkateje,277_macaw,p ə n,p ə n,,,,1057,,,
canelakraho-277_macaw-1,,canelakraho,277_macaw,p ə n,p ə n,,,,1057,,,
gaviaopyhcopji-277_macaw-1,,gaviaopyhcopji,277_macaw,p ə n,p ə n,,,,1057,,,
mebengokre-39_bean-1,,mebengokre,39_bean,m ə n + k r w ə̂ + ʔ y,m ə n + k r w ə̂ + ʔ y,,,,158,,,
apinaye-39_bean-1,,apinaye,39_bean,m/b ə n + k v r ə̂ t,m/b ə n + k v r ə̂ t,,,,158,,,
kisedje-39_bean-1,,kisedje,39_bean,m/b ə n + kʰ r w ə̂ t,m/b ə n + kʰ r w ə̂ t,,,,158,,,
tapayuna-39_bean-1,,tapayuna,39_bean,w̃ ə t + kʰ r ə̂ t + n o t ĩ,w̃ ə t + kʰ r ə̂ t + n o t ĩ,,,,158,,,
parkateje-39_bean-1,,parkateje,39_bean,p ə n + k r ə̂ t + r e,p ə n + k r ə̂ t + r e,,,,158,,,
canelakraho-39_bean-1,,canelakraho,39_bean,p ə n + kʰ r ə̂ t,p ə n + kʰ r ə̂ t,,,,158,,,
gaviaopyhcopji-39_bean-1,,gaviaopyhcopji,39_bean,p ə n + kʰ r y t,p ə n + kʰ r y t,,,,158,,,
mebengokre-336_piranha-1,,mebengokre,336_piranha,a m ə n,a m ə n,,,,1297,,,
apinaye-336_piranha-1,,apinaye,336_piranha,a m/b ə n,a m/b ə n,,,,1297,,,
tapayuna-336_piranha-1,,tapayuna,336_piranha,a w̃ ə t,a w̃ ə t,,,,1297,,,
parkateje-336_piranha-1,,parkateje,336_piranha,a p ə n,a p ə n,,,,1297,,,
parkateje-336_piranha-2,,parkateje,336_piranha,h a p ə n,h a p ə n,,,,1297,,,
canelakraho-336_piranha-1,,canelakraho,336_piranha,a p ə n,a p ə n,,,,1297,,,
gaviaopyhcopji-336_piranha-1,,gaviaopyhcopji,336_piranha,aː p ə n,aː p ə n,,,,1297,,,
parkateje-826_anddifferentsubject-1,,parkateje,826_anddifferentsubject,m ə̃,m ə̃,,,,49,,,
canelakraho-826_anddifferentsubject-1,,canelakraho,826_anddifferentsubject,m ə̃,m ə̃,,,,49,,,
gaviaopyhcopji-826_anddifferentsubject-1,,gaviaopyhcopji,826_anddifferentsubject,m ə̃,m ə̃,,,,49,,,
mebengokre-358_rhea-1,,mebengokre,358_rhea,m ə̃,m ə̃,,,,1407,,,
apinaye-358_rhea-1,,apinaye,358_rhea,m ə̃,m ə̃,,,,1407,,,
kisedje-358_rhea-1,,kisedje,358_rhea,m ə̃,m ə̃,,,,1407,,,
tapayuna-358_rhea-1,,tapayuna,358_rhea,w̃ ə̃,w̃ ə̃,,,,1407,,,
parkateje-358_rhea-1,,parkateje,358_rhea,m ə̃,m ə̃,,,,1407,,,
canelakraho-358_rhea-1,,canelakraho,358_rhea,m ə̃,m ə̃,,,,1407,,,
gaviaopyhcopji-358_rhea-1,,gaviaopyhcopji,358_rhea,m ə̃ː,m ə̃ː,,,,1407,,,
mebengokre-963_care-1,,mebengokre,963_care,j a m ə̃,j a m ə̃,,,,298,,,
mebengokre-963_care-2,,mebengokre,963_care,j a m ə̃ r,j a m ə̃ r,,,,298,,,
apinaye-963_care-1,,apinaye,963_care,j a m ə̃,j a m ə̃,,,,298,,,
apinaye-963_care-2,,apinaye,963_care,j a m ə̃ r,j a m ə̃ r,,,,298,,,
parkateje-963_care-1,,parkateje,963_care,j a m ə̃,j a m ə̃,,,,298,,,
parkateje-963_care-2,,parkateje,963_care,j a m ə̃ r,j a m ə̃ r,,,,298,,,
canelakraho-963_care-1,,canelakraho,963_care,j a m ə̃,j a m ə̃,,,,298,,,
canelakraho-963_care-2,,canelakraho,963_care,j a m ə̃ r,j a m ə̃ r,,,,298,,,
gaviaopyhcopji-963_care-1,,gaviaopyhcopji,963_care,j a m ə̃,j a m ə̃,,,,298,,,
gaviaopyhcopji-963_care-2,,gaviaopyhcopji,963_care,j a m ə̃ r,j a m ə̃ r,,,,298,,,
mebengokre-1535_wait-1,,mebengokre,1535_wait,j a m ə̃,j a m ə̃,,,,1904,,,
mebengokre-1535_wait-2,,mebengokre,1535_wait,j a m ə̃ r,j a m ə̃ r,,,,1904,,,
apinaye-1535_wait-1,,apinaye,1535_wait,j a m ə̃,j a m ə̃,,,,1904,,,
apinaye-1535_wait-2,,apinaye,1535_wait,j a m ə̃ r,j a m ə̃ r,,,,1904,,,
parkateje-1535_wait-1,,parkateje,1535_wait,j a m ə̃,j a m ə̃,,,,1904,,,
parkateje-1535_wait-2,,parkateje,1535_wait,j a m ə̃ r,j a m ə̃ r,,,,1904,,,
canelakraho-1535_wait-1,,canelakraho,1535_wait,j a m ə̃,j a m ə̃,,,,1904,,,
canelakraho-1535_wait-2,,canelakraho,1535_wait,j a m ə̃ r,j a m ə̃ r,,,,1904,,,
gaviaopyhcopji-1535_wait-1,,gaviaopyhcopji,1535_wait,j a m ə̃,j a m ə̃,,,,1904,,,
gaviaopyhcopji-1535_wait-2,,gaviaopyhcopji,1535_wait,j a m ə̃ r,j a m ə̃ r,,,,1904,,,
mebengokre-1191_grabsingular-1,,mebengokre,1191_grabsingular,m ə̂,m ə̂,,,,763,,,
mebengokre-1191_grabsingular-2,,mebengokre,1191_grabsingular,m ə̂ ñ,m ə̂ ñ,,,,763,,,
apinaye-1191_grabsingular-1,,apinaye,1191_grabsingular,m/b ə̂,m/b ə̂,,,,763,,,
apinaye-1191_grabsingular-2,,apinaye,1191_grabsingular,m/b ə̂ ñ,m/b ə̂ ñ,,,,763,,,
apinaye-1191_grabsingular-3,,apinaye,1191_grabsingular,m/b ə̂ r,m/b ə̂ r,,,,763,,,
kisedje-1191_grabsingular-1,,kisedje,1191_grabsingular,m/b ə̂,m/b ə̂,,,,763,,,
kisedje-1191_grabsingular-2,,kisedje,1191_grabsingular,m/b ə̂ n,m/b ə̂ n,,,,763,,,
parkateje-1191_grabsingular-1,,parkateje,1191_grabsingular,p ə̂,p ə̂,,,,763,,,
parkateje-1191_grabsingular-2,,parkateje,1191_grabsingular,p ə̂ n,p ə̂ n,,,,763,,,
canelakraho-1191_grabsingular-1,,canelakraho,1191_grabsingular,p ə̂,p ə̂,,,,763,,,
canelakraho-1191_grabsingular-2,,canelakraho,1191_grabsingular,p ə̂ n,p ə̂ n,,,,763,,,
gaviaopyhcopji-1191_grabsingular-1,,gaviaopyhcopji,1191_grabsingular,p y,p y,,,,763,,,
gaviaopyhcopji-1191_grabsingular-2,,gaviaopyhcopji,1191_grabsingular,p y n,p y n,,,,763,,,
mebengokre-757_loadsingular-1,,mebengokre,757_loadsingular,m ə̂,m ə̂,,,,1029,,,
mebengokre-757_loadsingular-2,,mebengokre,757_loadsingular,m ə̂ ñ,m ə̂ ñ,,,,1029,,,
apinaye-757_loadsingular-1,,apinaye,757_loadsingular,m/b ə̂,m/b ə̂,,,,1029,,,
apinaye-757_loadsingular-2,,apinaye,757_loadsingular,m/b ə̂ ñ,m/b ə̂ ñ,,,,1029,,,
apinaye-757_loadsingular-3,,apinaye,757_loadsingular,m/b ə̂ r,m/b ə̂ r,,,,1029,,,
kisedje-757_loadsingular-1,,kisedje,757_loadsingular,m/b ə̂,m/b ə̂,,,,1029,,,
kisedje-757_loadsingular-2,,kisedje,757_loadsingular,m/b ə̂ n,m/b ə̂ n,,,,1029,,,
parkateje-757_loadsingular-1,,parkateje,757_loadsingular,p ə̂,p ə̂,,,,1029,,,
parkateje-757_loadsingular-2,,parkateje,757_loadsingular,p ə̂ n,p ə̂ n,,,,1029,,,
canelakraho-757_loadsingular-1,,canelakraho,757_loadsingular,p ə̂,p ə̂,,,,1029,,,
canelakraho-757_loadsingular-2,,canelakraho,757_loadsingular,p ə̂ n,p ə̂ n,,,,1029,,,
gaviaopyhcopji-757_loadsingular-1,,gaviaopyhcopji,757_loadsingular,p y,p y,,,,1029,,,
gaviaopyhcopji-757_loadsingular-2,,gaviaopyhcopji,757_loadsingular,p y n,p y n,,,,1029,,,
mebengokre-279_man-1,,mebengokre,279_man,m y,m y,,,,1069,,,
apinaye-279_man-1,,apinaye,279_man,m/b y,m/b y,,,,1069,,,
kisedje-279_man-1,,kisedje,279_man,m ẽ + m/b y + j ê,m ẽ + m/b y + j ê,,,,1070,,,
tapayuna-279_man-1,,tapayuna,279_man,w̃ y,w̃ y,,,,1069,,,
tapayuna-279_man-2,,tapayuna,279_man,w̃ ẽ + w̃ y,w̃ ẽ + w̃ y,,,,1070,,,
parkateje-279_man-1,,parkateje,279_man,m/p y,m/p y,,,,1069,,,
mebengokre-329_penis-1,,mebengokre,329_penis,m y,m y,,,,1274,,,
kisedje-329_penis-1,,kisedje,329_penis,m/b y,m/b y,,,,1274,,,
tapayuna-329_penis-1,,tapayuna,329_penis,w̃ y,w̃ y,,,,1274,,,
canelakraho-329_penis-1,,canelakraho,329_penis,p y,p y,,,,1274,,,
gaviaopyhcopji-619_truesonsofafather-1,,gaviaopyhcopji,619_truesonsofafather,p ə̤ː + k ə̃ m,p ə̤ː + k ə̃ m,,,,1852,,,
mebengokre-430_tail-1,,mebengokre,430_tail,j a m y,j a m y,,,,1740,,,
apinaye-430_tail-1,,apinaye,430_tail,j a m/b y,j a m/b y,,,,1740,,,
tapayuna-430_tail-1,,tapayuna,430_tail,j a w̃ y,j a w̃ y,,,,1740,,,
parkateje-430_tail-1,,parkateje,430_tail,j a p y,j a p y,,,,1740,,,
canelakraho-430_tail-1,,canelakraho,430_tail,j a p y,j a p y,,,,1740,,,
gaviaopyhcopji-430_tail-1,,gaviaopyhcopji,430_tail,j a p ə̤ː,j a p ə̤ː,,,,1740,,,
mebengokre-425_sun-1,,mebengokre,425_sun,m y t,m y t,,,,1714,,,
apinaye-425_sun-1,,apinaye,425_sun,m/b y t,m/b y t,,,,1714,,,
kisedje-425_sun-1,,kisedje,425_sun,m/b y t,m/b y t,,,,1714,,,
tapayuna-425_sun-1,,tapayuna,425_sun,w̃ y t,w̃ y t,,,,1714,,,
parkateje-425_sun-1,,parkateje,425_sun,p y t,p y t,,,,1714,,,
canelakraho-425_sun-1,,canelakraho,425_sun,p y t,p y t,,,,1714,,,
gaviaopyhcopji-425_sun-1,,gaviaopyhcopji,425_sun,p ə̤ t,p ə̤ t,,,,1714,,,
mebengokre-291_moon-1,,mebengokre,291_moon,m y t y + r w ə̂,m y t y + r w ə̂,,,,1110,,,
apinaye-291_moon-1,,apinaye,291_moon,m/b y t + v r ə,m/b y t + v r ə,,,,1110,,,
kisedje-291_moon-1,,kisedje,291_moon,m/b y t + r w ə,m/b y t + r w ə,,,,1110,,,
tapayuna-291_moon-1,,tapayuna,291_moon,w̃ y t + r w ə̂,w̃ y t + r w ə̂,,,,1110,,,
canelakraho-291_moon-1,,canelakraho,291_moon,p u t + w r ə̂,p u t + w r ə̂,,,,1110,,,
gaviaopyhcopji-291_moon-1,,gaviaopyhcopji,291_moon,p ə̤ t + r y,p ə̤ t + r y,,,,1110,,,
mebengokre-632_wilddeer-1,,mebengokre,632_wilddeer,m o,m o,,,,1962,,,
apinaye-632_wilddeer-1,,apinaye,632_wilddeer,m/b o + t i,m/b o + t i,,,,1962,,,
kisedje-632_wilddeer-1,,kisedje,632_wilddeer,m/b o t + c i,m/b o t + c i,,,,1962,,,
canelakraho-632_wilddeer-1,,canelakraho,632_wilddeer,p o,p o,,,,1962,,,
gaviaopyhcopji-632_wilddeer-1,,gaviaopyhcopji,632_wilddeer,p oː,p oː,,,,1962,,,
mebengokre-798_shed-1,,mebengokre,798_shed,m o,m o,,,,1519,,,
apinaye-798_shed-1,,apinaye,798_shed,m/b o + t i,m/b o + t i,,,,1519,,,
kisedje-798_shed-1,,kisedje,798_shed,m/b o t + c i,m/b o t + c i,,,,1519,,,
canelakraho-798_shed-1,,canelakraho,798_shed,p o,p o,,,,1519,,,
gaviaopyhcopji-798_shed-1,,gaviaopyhcopji,798_shed,p oː,p oː,,,,1519,,,
mebengokre-728_beat-1,,mebengokre,728_beat,m o k,m o k,,,,161,,,
apinaye-728_beat-1,,apinaye,728_beat,m/b o k,m/b o k,,,,161,,,
kisedje-909_falloffruit-1,,kisedje,909_falloffruit,m/b o k,m/b o k,,,,617,,,
canelakraho-728_beat-1,,canelakraho,728_beat,p o k,p o k,,,,161,,,
gaviaopyhcopji-728_beat-1,,gaviaopyhcopji,728_beat,p o k,p o k,,,,161,,,
mebengokre-893_cutopen-1,,mebengokre,893_cutopen,m o k,m o k,,,,456,,,
apinaye-893_cutopen-1,,apinaye,893_cutopen,m/b o k,m/b o k,,,,456,,,
canelakraho-893_cutopen-1,,canelakraho,893_cutopen,p o k,p o k,,,,456,,,
gaviaopyhcopji-893_cutopen-1,,gaviaopyhcopji,893_cutopen,p o k,p o k,,,,456,,,
mebengokre-1064_openandclose-1,,mebengokre,1064_openandclose,m o m o k,m o m o k,,,,1200,,,
mebengokre-730_whisper-1,,mebengokre,730_whisper,m o m o k,m o m o k,,,,1947,,,
apinaye-1173_stomp-1,,apinaye,1173_stomp,p a r + m/b o m/b o k,p a r + m/b o m/b o k,,,,1689,,,
parkateje-1240_guadauaweberbaueri-1,,parkateje,1240_guadauaweberbaueri,popok,popok,,,,786,,,
canelakraho-879_clap-1,,canelakraho,879_clap,popok,popok,,,,350,,,
gaviaopyhcopji-1045_spank-2,,gaviaopyhcopji,1045_spank,poːpok,poːpok,,,,1630,,,
mebengokre-528_goplural-1,,mebengokre,528_goplural,m õ,m õ,,,,748,,,
mebengokre-528_goplural-2,,mebengokre,528_goplural,m õ r,m õ r,,,,748,,,
apinaye-528_goplural-1,,apinaye,528_goplural,m õ,m õ,,,,748,,,
apinaye-528_goplural-2,,apinaye,528_goplural,m õ r,m õ r,,,,748,,,
kisedje-528_goplural-1,,kisedje,528_goplural,m õ,m õ,,,,748,,,
kisedje-528_goplural-2,,kisedje,528_goplural,m õ r,m õ r,,,,748,,,
tapayuna-528_goplural-1,,tapayuna,528_goplural,w̃ õ,w̃ õ,,,,748,,,
tapayuna-528_goplural-2,,tapayuna,528_goplural,w̃ õ r,w̃ õ r,,,,748,,,
parkateje-528_goplural-1,,parkateje,528_goplural,m õ,m õ,,,,748,,,
parkateje-528_goplural-2,,parkateje,528_goplural,m õ n,m õ n,,,,748,,,
canelakraho-528_goplural-1,,canelakraho,528_goplural,m õ,m õ,,,,748,,,
canelakraho-528_goplural-2,,canelakraho,528_goplural,m õ r,m õ r,,,,748,,,
gaviaopyhcopji-528_goplural-1,,gaviaopyhcopji,528_goplural,m õ,m õ,,,,748,,,
gaviaopyhcopji-528_goplural-2,,gaviaopyhcopji,528_goplural,m õ r,m õ r,,,,748,,,
mebengokre-1504_tip-1,,mebengokre,1504_tip,ñ i m õ k,ñ i m õ k,,,,1814,,,
apinaye-1504_tip-1,,apinaye,1504_tip,ñ i m õ k,ñ i m õ k,,,,1814,,,
parkateje-1504_tip-1,,parkateje,1504_tip,j i m õ k,j i m õ k,,,,1814,,,
canelakraho-1504_tip-1,,canelakraho,1504_tip,j i m o k + r i,j i m o k + r i,,,,1814,,,
gaviaopyhcopji-1504_tip-1,,gaviaopyhcopji,1504_tip,j ẽ̤ m õ k + r e̤,j ẽ̤ m õ k + r e̤,,,,1814,,,
mebengokre-663_lagoon-1,,mebengokre,663_lagoon,i m ô,i m ô,,,,963,,,
apinaye-663_lagoon-1,,apinaye,663_lagoon,ʔ i m/b ô,ʔ i m/b ô,,,,963,,,
parkateje-663_lagoon-1,,parkateje,663_lagoon,h i p ô + r e,h i p ô + r e,,,,963,,,
parkateje-663_lagoon-2,,parkateje,663_lagoon,h i p ô + t i,h i p ô + t i,,,,963,,,
canelakraho-663_lagoon-1,,canelakraho,663_lagoon,h ĩ p ô,h ĩ p ô,,,,963,,,
gaviaopyhcopji-663_lagoon-1,,gaviaopyhcopji,663_lagoon,h ẽː p u,h ẽː p u,,,,963,,,
mebengokre-146_face-1,,mebengokre,146_face,m ô p,m ô p,,,,611,,,
apinaye-146_face-1,,apinaye,146_face,m/b ô p,m/b ô p,,,,611,,,
canelakraho-146_face-1,,canelakraho,146_face,p ə̂ p + r e,p ə̂ p + r e,,,,611,,,
gaviaopyhcopji-146_face-1,,gaviaopyhcopji,146_face,p y p + r e,p y p + r e,,,,611,,,
mebengokre-1179_electriceel-1,,mebengokre,1179_electriceel,m ô p,m ô p,,,,577,,,
apinaye-1179_electriceel-1,,apinaye,1179_electriceel,m/b ô p + r e,m/b ô p + r e,,,,577,,,
apinaye-1179_electriceel-2,,apinaye,1179_electriceel,m/b ô p + t i,m/b ô p + t i,,,,577,,,
kisedje-1179_electriceel-1,,kisedje,1179_electriceel,m/b ô k + c i,m/b ô k + c i,,,,577,,,
parkateje-1179_electriceel-1,,parkateje,1179_electriceel,p ə̂ p,p ə̂ p,,,,577,,,
canelakraho-1179_electriceel-1,,canelakraho,1179_electriceel,p ə̂ p,p ə̂ p,,,,577,,,
gaviaopyhcopji-1179_electriceel-1,,gaviaopyhcopji,1179_electriceel,p y p + r e,p y p + r e,,,,577,,,
mebengokre-721_jatobahymenaeacourbaril-1,,mebengokre,721_jatobahymenaeacourbaril,m ô c,m ô c,,,,924,,,
apinaye-721_jatobahymenaeacourbaril-1,,apinaye,721_jatobahymenaeacourbaril,m/b ô c + r e,m/b ô c + r e,,,,924,,,
apinaye-721_jatobahymenaeacourbaril-2,,apinaye,721_jatobahymenaeacourbaril,m/b ô c + t i,m/b ô c + t i,,,,924,,,
kisedje-78_canoe-1,,kisedje,78_canoe,m/b ô t + k ə,m/b ô t + k ə,,,,291,,,
parkateje-721_jatobahymenaeacourbaril-1,,parkateje,721_jatobahymenaeacourbaril,p ô j,p ô j,,,,924,,,
canelakraho-721_jatobahymenaeacourbaril-1,,canelakraho,721_jatobahymenaeacourbaril,p ô j,p ô j,,,,924,,,
gaviaopyhcopji-721_jatobahymenaeacourbaril-1,,gaviaopyhcopji,721_jatobahymenaeacourbaril,p u s,p u s,,,,924,,,
mebengokre-12_armadillo-1,,mebengokre,12_armadillo,k a m ô k + t i,k a m ô k + t i,,,,71,,,
parkateje-12_armadillo-1,,parkateje,12_armadillo,k a p ô k + t i,k a p ô k + t i,,,,71,,,
canelakraho-1248_oitimoquileatomentosa-1,,canelakraho,1248_oitimoquileatomentosa,k a p ô k,k a p ô k,,,,1192,,,
gaviaopyhcopji-1248_oitimoquileatomentosa-1,,gaviaopyhcopji,1248_oitimoquileatomentosa,k aː p u k + r e,k aː p u k + r e,,,,1192,,,
gaviaopyhcopji-1248_oitimoquileatomentosa-2,,gaviaopyhcopji,1248_oitimoquileatomentosa,k aː p u k + t e̤,k aː p u k + t e̤,,,,1192,,,
mebengokre-378_see-1,,mebengokre,378_see,p u m ũ,p u m ũ,,,,1491,,,
mebengokre-378_see-2,,mebengokre,378_see,p u m u ñ,p u m u ñ,,,,1491,,,
apinaye-378_see-1,,apinaye,378_see,p u m/b u,p u m/b u,,,,1491,,,
apinaye-378_see-2,,apinaye,378_see,p u m/b u ñ,p u m/b u ñ,,,,1491,,,
kisedje-378_see-1,,kisedje,378_see,m ũ,m ũ,,,,1493,,,
kisedje-378_see-2,,kisedje,378_see,m ũ n,m ũ n,,,,1493,,,
tapayuna-378_see-1,,tapayuna,378_see,w̃ u,w̃ u,,,,1493,,,
tapayuna-378_see-2,,tapayuna,378_see,w̃ u j,w̃ u j,,,,1493,,,
parkateje-378_see-1,,parkateje,378_see,p u p u,p u p u,,,,1491,,,
parkateje-378_see-2,,parkateje,378_see,p u p u n,p u p u n,,,,1491,,,
canelakraho-378_see-1,,canelakraho,378_see,p u p u,p u p u,,,,1491,,,
canelakraho-378_see-2,,canelakraho,378_see,p u p u n,p u p u n,,,,1491,,,
gaviaopyhcopji-378_see-1,,gaviaopyhcopji,378_see,p o̤ p o̤,p o̤ p o̤,,,,1491,,,
gaviaopyhcopji-378_see-2,,gaviaopyhcopji,378_see,p o̤ p o̤ n,p o̤ p o̤ n,,,,1491,,,
mebengokre-302_neck-1,,mebengokre,302_neck,m u t,m u t,,,,1160,,,
apinaye-302_neck-1,,apinaye,302_neck,m/b u t,m/b u t,,,,1160,,,
kisedje-302_neck-1,,kisedje,302_neck,m/b u t,m/b u t,,,,1160,,,
tapayuna-302_neck-1,,tapayuna,302_neck,w̃ u t,w̃ u t,,,,1160,,,
parkateje-302_neck-1,,parkateje,302_neck,p u t,p u t,,,,1160,,,
canelakraho-302_neck-1,,canelakraho,302_neck,p u t,p u t,,,,1160,,,
gaviaopyhcopji-302_neck-1,,gaviaopyhcopji,302_neck,p o̤ t,p o̤ t,,,,1160,,,
mebengokre-111_cry-1,,mebengokre,111_cry,m û,m û,,,,435,,,
mebengokre-111_cry-2,,mebengokre,111_cry,m ə̂ r,m ə̂ r,,,,437,,,
apinaye-111_cry-1,,apinaye,111_cry,m/b û,m/b û,,,,435,,,
apinaye-111_cry-2,,apinaye,111_cry,m/b u r,m/b u r,,,,435,,,
apinaye-111_cry-3,,apinaye,111_cry,m/b ə̂ r,m/b ə̂ r,,,,437,,,
kisedje-111_cry-1,,kisedje,111_cry,m/b ə̂ r,m/b ə̂ r,,,,437,,,
tapayuna-111_cry-1,,tapayuna,111_cry,w̃ ə̂ r,w̃ ə̂ r,,,,437,,,
mebengokre-194_good-1,,mebengokre,194_good,m e c,m e c,,,,758,,,
apinaye-194_good-1,,apinaye,194_good,m/b e c,m/b e c,,,,758,,,
kisedje-194_good-1,,kisedje,194_good,m/b e t/i,m/b e t/i,,,,758,,,
