NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
175	FLY			
176	FLY (INSECT)	ANIMALS	1504	FLY (INSECT)
177	FLY (MOVE THROUGH AIR)	MOTION	1441	FLY (MOVE THROUGH AIR)
178	FLY SP.			
179	FOG	THE_PHYSICAL_WORLD	249	FOG
180	FOOT	THE_BODY	1301	FOOT
181	FOREHEAD	THE_BODY	123	FOREHEAD
182	FOREST	THE_PHYSICAL_WORLD	420	FOREST
183	FOUR	QUANTITY	1500	FOUR
184	FOX	ANIMALS	1312	FOX
185	FROG	ANIMALS	503	FROG
186	FRUIT	FOOD_AND_DRINK	1507	FRUIT
187	FULL	QUANTITY	1429	FULL
188	FUR	THE_BODY	580	FUR
189	GENIPA	AGRICULTURE_AND_VEGETATION	3920	GENIPA
190	GIANT ARMADILLO			
191	GILDED CATFISH			
192	GIRL	KINSHIP	1646	GIRL
193	GIVE	POSSESSION	1447	GIVE
194	GOOD	EMOTIONS_AND_VALUES	1035	GOOD
195	GOURD	AGRICULTURE_AND_VEGETATION	411	GOURD
196	GRANDFATHER	KINSHIP	1383	GRANDFATHER
197	GRANDMOTHER	KINSHIP	1496	GRANDMOTHER
198	GRASS	AGRICULTURE_AND_VEGETATION	606	GRASS
199	GRASSHOPPER	ANIMALS	607	GRASSHOPPER
200	GRAVE WOOD			
201	GREEN	SENSE_PERCEPTION	1425	GREEN
202	GUESS	COGNITION	1932	GUESS
203	GULL	ANIMALS	950	SEAGULL
204	GUTS	THE BODY	1334	GUTS
205	HAIR	THE_BODY	1040	HAIR
206	HAMMOCK	THE_HOUSE	2019	HAMMOCK
207	HAND	THE_BODY	1277	HAND
208	HAWK	ANIMALS	307	HAWK
209	HE	KINSHIP	1211	HE
210	HEAD	THE_BODY	1256	HEAD
211	HEAR	SENSE_PERCEPTION	1408	HEAR
212	HEART	THE_BODY	1223	HEART
213	HEAVY	SENSE_PERCEPTION	1210	HEAVY
214	HEDGEHOG	ANIMALS	1797	HEDGEHOG
215	HEEL	THE_BODY	980	HEEL
216	HERE	MISCELLANEOUS_FUNCTION_WORDS	136	HERE
217	HIT	BASIC_ACTIONS_AND_TECHNOLOGY	1433	HIT
218	HOLD	POSSESSION	1448	HOLD
219	HOLE	SPATIAL_RELATIONS	1667	HOLE
220	HONEY	FOOD_AND_DRINK	942	HONEY
221	HOPLIAS (GENUS)	ANIMALS	3933	HOPLIAS (GENUS)
222	HORN			
223	HORN (ANATOMY)	THE_BODY	1393	HORN (ANATOMY)
224	HORNED SCREAMER SP.			
225	HOT	SENSE_PERCEPTION	1286	HOT
226	HOUSE	THE_HOUSE	1252	HOUSE
227	HOW	COGNITION	1239	HOW
228	HOWLER MONKEY	ANIMALS	433	HOWLER MONKEY
229	HUNT	WARFARE_AND_HUNTING	1435	HUNT
230	HUNTER CREW			
231	HUSBAND	KINSHIP	1200	HUSBAND
232	HYACINTH MACAW	ANIMALS		
233	I	KINSHIP	1209	I
234	IBIYAU			
235	IF	COGNITION	1459	IF
236	IGUANA	ANIMALS	1578	IGUANA
237	IN	SPATIAL_RELATIONS	1460	IN
238	INSTEP	THE BODY	3736	INSTEP
239	INTESTINES	THE_BODY	1991	INTESTINES
240	IRON	BASIC_ACTIONS_AND_TECHNOLOGY	621	IRON
241	IRON AXE			
242	IRON POT			
243	JABIRU (Jabiru mycteria)	ANIMALS		
244	JAGUAR	ANIMALS	1250	JAGUAR
245	JAKÚ			
246	JAPÚ			
247	JARARACUSSU			
248	KAITETUSCHWEIN			
249	KAMPREH			
250	KILL	THE_BODY	1417	KILL
251	KING VULTURE			
252	KINGFISHER	ANIMALS	2444	KINGFISHER
253	KNEE	THE_BODY	1371	KNEE
254	KNIFE	FOOD_AND_DRINK	1352	KNIFE
255	KNOW	COGNITION	3626	KNOW
256	LAKE	THE_PHYSICAL_WORLD	624	LAKE
257	LAUGH	EMOTIONS_AND_VALUES	1355	LAUGH
258	LEAF	AGRICULTURE_AND_VEGETATION	628	LEAF
259	LEFT	SPATIAL_RELATIONS	244	LEFT
260	LEG	THE_BODY	1297	LEG
261	LIANA	AGRICULTURE_AND_VEGETATION	2388	LIANA
262	LIE (IN A BED)			
263	LIE DOWN	SPATIAL_RELATIONS	215	LIE DOWN
264	LIGHT (IGNITE)	THE_PHYSICAL_WORLD	737	LIGHT (IGNITE)
265	LINE	SPATIAL RELATIONS	1048	LINE
266	LIP	THE_BODY	478	LIP
267	LIP	THE BODY	478	LIP
268	LIP HOLE			
269	LIVE	THE_BODY	2309	LIVE
270	LIVER	THE_BODY	1224	LIVER
271	LIZARD	ANIMALS	632	LIZARD
272	LONG	SPATIAL_RELATIONS	1203	LONG
273	LOOK	SENSE_PERCEPTION	1819	LOOK
274	LOUSE	ANIMALS	1392	LOUSE
275	LOWER ARM	THE BODY	446	LOWER ARM
276	LOWER LEG	THE BODY	447	LOWER LEG
277	MACAW	ANIMALS	1630	MACAW
278	MAIZE	AGRICULTURE_AND_VEGETATION	506	MAIZE
279	MAN	KINSHIP	1554	MAN
280	MAN (ADULT MALE)			
281	MAN (HUMAN BEING)			
282	MANED WOLF			
283	MANGABA			
284	MANIOC	AGRICULTURE_AND_VEGETATION	927	MANIOC
285	MANY	QUANTITY	1198	MANY
286	MARRY	KINSHIP	203	MARRY
287	MAT	BASIC ACTIONS AND TECHNOLOGY	195	MAT
288	MATRINCHAM			
289	MEN'S HAUSE			
290	MONKEY	ANIMALS	1350	MONKEY
291	MOON	THE_PHYSICAL_WORLD	1313	MOON
292	MOSQUITO	ANIMALS	1509	MOSQUITO
293	MOTHER	KINSHIP	1216	MOTHER
294	MOUNTAIN	THE_PHYSICAL_WORLD	639	MOUNTAIN
295	MOUTH	THE_BODY	674	MOUTH
296	MUD	THE_PHYSICAL_WORLD	640	MUD
297	MUSK PIG			
298	NAME	SPEECH_AND_LANGUAGE	1405	NAME
299	NARROW	SPATIAL_RELATIONS	1267	NARROW
300	NAVEL	THE_BODY	1838	NAVEL
301	NEAR	SPATIAL_RELATIONS	1942	NEAR
302	NECK	THE_BODY	1333	NECK
303	NET	BASIC ACTIONS AND TECHNOLOGY	2963	NET
304	NEW	TIME	1231	NEW
305	NIGHT	TIME	1233	NIGHT
306	NIPPLE	THE BODY	796	NIPPLE
307	NOSE	THE_BODY	1221	NOSE
308	NOT	MISCELLANEOUS_FUNCTION_WORDS	1240	NOT
309	OAR	BASIC_ACTIONS_AND_TECHNOLOGY	3137	OAR
310	OLD	TIME	1229	OLD
311	OLDER BROTHER	KINSHIP	1759	OLDER BROTHER
312	ONE	QUANTITY	1493	ONE
313	OPOSSUM	ANIMALS	309	OPOSSUM
314	OSTRICH	ANIMALS	3797	OSTRICH
315	OTHER	MISCELLANEOUS_FUNCTION_WORDS	197	OTHER
316	OTTER	ANIMALS	15	OTTER
317	OWL	ANIMALS	735	OWL
318	OX	ANIMALS	1169	OX
319	PACA	ANIMALS	316	PACA
320	PACU	ANIMALS	3922	PACU
321	PARAKEET	ANIMALS	886	PARAKEET
322	PARROT	ANIMALS	882	PARROT
323	PATERNAL UNCLE (FATHER'S BROTHER)	KINSHIP	1985	PATERNAL UNCLE (FATHER'S BROTHER)
324	PATH	MOTION	2252	PATH
325	PATH OR ROAD	MOTION	2457	PATH OR ROAD
326	PEACH PALM	AGRICULTURE_AND_VEGETATION	3919	PEACH PALM
327	PECCARY	ANIMALS	2390	PECCARY
328	PENELOPE (BIRD)	ANIMALS		
329	PENIS	THE_BODY	1222	PENIS
330	PERIQUITO			
331	PERSON	KINSHIP	683	PERSON
332	PESTLE	FOOD_AND_DRINK	225	PESTLE
333	PIABA-AÇU			
334	PIERCE	BASIC_ACTIONS_AND_TECHNOLOGY	398	PIERCE
335	PIG	ANIMALS	1337	PIG
336	PIRANHA	ANIMALS	317	PIRANHA
337	PIRAPUTANGA			
338	PIUVA			
339	PLAY	EMOTIONS_AND_VALUES	1413	PLAY
340	POISON	THE_BODY	655	POISON
341	PORCUPINE	ANIMALS	2510	PORCUPINE
342	POT	FOOD AND DRINKS	1462	POT
343	POWDER	MODERN WORLD	3368	POWDER
344	PULL	BASIC_ACTIONS_AND_TECHNOLOGY	1455	PULL
345	PUMA	ANIMALS	1891	PUMA
346	PUMPKIN	AGRICULTURE_AND_VEGETATION	864	PUMPKIN
347	PUSH	MOTION	1452	PUSH
348	QUICK			
349	RAIN			
350	RAIN (PRECIPITATION)	THE_PHYSICAL_WORLD	658	RAIN (PRECIPITATION)
351	RAT	ANIMALS	1490	RAT
352	RATTLE	SPEECH_AND_LANGUAGE	300	RATTLE
353	RATTLE MADE OF PECCARI NAILS			
354	RATTLESNAKE	ANIMALS	871	RATTLESNAKE
355	RED	SENSE_PERCEPTION	156	RED
356	RED HOWLER MONKEY			
357	RED-AND-GREEN MACAW	ANIMALS	3938	RED-AND-GREEN MACAW
358	RHEA	ANIMALS		RHEA(Rhea americana)
359	RIGHT	SPATIAL_RELATIONS	1019	RIGHT
360	RIVER	THE_PHYSICAL_WORLD	666	RIVER
361	ROAD	MOTION	667	ROAD
362	ROBUST CAPUCHIN MONKEY			
363	ROBUST CAPUCHIN MONKEY (MACACO PREGO)			
364	ROOT	AGRICULTURE_AND_VEGETATION	670	ROOT
365	ROPE	BASIC_ACTIONS_AND_TECHNOLOGY	1218	ROPE
366	ROTTEN	FOOD_AND_DRINK	1728	ROTTEN
