id,doculect,concept,forms,lexstatid
1428,Mẽbêngôkre,GO OUT,a p ɔ j,650
1429,Mẽbêngôkre,GO OUT,j a p ɔ j,650
1430,Apinayé,GO OUT,j a p ɔ j,650
1431,Apinayé,GO OUT,j a p ɔ c,650
1432,Parkatêjê,GO OUT,j a p ɔ j,650
1433,Canela-Krahô,GO OUT,j a p ɔ j,650
1434,Gavião-Pyhcopji,GO OUT,j a p u s,650
1435,Mẽbêngôkre,DRILL,j a p ɔ k,458
1436,Apinayé,DRILL,j a p ɔ k,458
1437,Kĩsêdjê,DRILL,j a h ɔ h ɔ k,458
1438,Tapayúna,DRILL,j a h ɔ k,458
1439,Parkatêjê,DRILL,j a p ɔ k,458
1440,Canela-Krahô,DRILL,j a p ɔ k,458
1441,Gavião-Pyhcopji,DRILL,j a p u k,458
1442,Mẽbêngôkre,EVISCERATE,ɲ õ p ɔ k,523
1443,Apinayé,EVISCERATE,ɲ õ p ɔ k,523
1444,Canela-Krahô,EVISCERATE,j õ p ɔ k,523
1445,Mẽbêngôkre,CENTRE,ɲ i p ɔ k,281
1446,Apinayé,CENTRE,ɲ i p ɔ k,281
1447,Kĩsêdjê,CENTRE,ɲ ĩ h ɔ k,281
1448,Tapayúna,CENTRE,ɲ ĩ h ɔ k,281
1449,Parkatêjê,CENTRE,j i p ɔ k,281
1450,Canela-Krahô,CENTRE,j i p ɔ k + r i,281
1451,Gavião-Pyhcopji,CENTRE,j ɛ̤̃ p u k + r ɛ,281
1452,Mẽbêngôkre,FULL,ʔ i p u,617
1453,Apinayé,FULL,ʔ i p u,617
1454,Canela-Krahô,FULL,h i p u,617
1455,Gavião-Pyhcopji,FULL,h ɛ̤̃ p ɔ,617
1456,Mẽbêngôkre,WRAP UP,k u p u,1736
1457,Apinayé,WRAP UP,k u p u,1736
1458,Kĩsêdjê,WRAP UP,k u h u,1736
1459,Parkatêjê,WRAP UP,k u p u,1736
1460,Canela-Krahô,WRAP UP,k u p u,1736
1461,Gavião-Pyhcopji,WRAP UP,k ɔ̤ː p ɔ̤ː,1736
1462,Apinayé,FIGHT,a c + p u,560
1463,Apinayé,FIGHT,p i + a p u,560
1464,Apinayé,FIGHT,p i + p u,560
1465,Parkatêjê,FIGHT,a + j p u,560
1466,Canela-Krahô,FIGHT,a + j p u,560
1467,Canela-Krahô,FIGHT,p i + j a p u,560
1468,Gavião-Pyhcopji,FIGHT,a + s p ɔ̤,560
1469,Gavião-Pyhcopji,FIGHT,p ɛ̤ + s p ɔ,560
1470,Mẽbêngôkre,FARM,p u r,534
1471,Apinayé,FARM,p u r,534
1472,Kĩsêdjê,FARM,h u r,534
1473,Tapayúna,FARM,h u r,534
1474,Parkatêjê,FARM,p u r,534
1475,Canela-Krahô,FARM,p u r,534
1476,Gavião-Pyhcopji,FARM,p ɔ̤ r,534
1477,Mẽbêngôkre,DRINK IT ALL,p ɛ,462
1478,Mẽbêngôkre,DRINK IT ALL,p ɛ ɲ,462
1479,Apinayé,DRINK IT ALL,p ɛ,462
1480,Apinayé,DRINK IT ALL,p ɛ ɲ,462
1481,Parkatêjê,DRINK IT ALL,p ɛ,462
1482,Parkatêjê,DRINK IT ALL,p ɛ n,462
1483,Canela-Krahô,DRINK IT ALL,p ɛ,462
1484,Canela-Krahô,DRINK IT ALL,p ɛ n,462
1485,Gavião-Pyhcopji,DRINK IT ALL,p ɛ,462
1486,Gavião-Pyhcopji,DRINK IT ALL,p ɛ n,462
1487,Apinayé,CAPOEIRA,ʔ i p ɛ,262
1488,Parkatêjê,CAPOEIRA,i p ɛ,262
1489,Parkatêjê,CAPOEIRA,h i p ɛ,262
1490,Canela-Krahô,CAPOEIRA,h i p ɛ,262
1491,Mẽbêngôkre,LOOSE,p ɛ k,905
1492,Kĩsêdjê,LOOSE,h w ɛ k,905
1493,Canela-Krahô,LOOSE,p ɛ k,905
1494,Gavião-Pyhcopji,LOOSE,p ɛ k,905
1495,Mẽbêngôkre,TOUCH,k u p ɛ,1599
1496,Mẽbêngôkre,TOUCH,k u p ɛ ɲ,1599
1497,Apinayé,TOUCH,k u p ɛ,1599
1498,Apinayé,TOUCH,k u p ɛ ɲ,1599
1499,Tapayúna,TOUCH,k u h w ɛ,1599
1500,Tapayúna,TOUCH,k u h w ɛ j,1599
1501,Parkatêjê,TOUCH,k u p ɛ,1599
1502,Parkatêjê,TOUCH,k u p ɛ n,1599
1503,Canela-Krahô,TOUCH,k u p ɛ,1599
1504,Canela-Krahô,TOUCH,k u p ɛ n,1599
1505,Gavião-Pyhcopji,TOUCH,k ɔ̤ː p i,1599
1506,Gavião-Pyhcopji,TOUCH,k ɔ̤ː p i n,1599
1507,Mẽbêngôkre,MOVE,k u p ɛ,982
1508,Mẽbêngôkre,MOVE,k u p ɛ ɲ,982
1509,Apinayé,MOVE,k u p ɛ,982
1510,Apinayé,MOVE,k u p ɛ ɲ,982
1511,Tapayúna,MOVE,k u h w ɛ,982
1512,Tapayúna,MOVE,k u h w ɛ j,982
1513,Parkatêjê,MOVE,k u p ɛ,982
1514,Parkatêjê,MOVE,k u p ɛ n,982
1515,Canela-Krahô,MOVE,k u p ɛ,982
1516,Canela-Krahô,MOVE,k u p ɛ n,982
1517,Gavião-Pyhcopji,MOVE,k ɔ̤ː p i,982
1518,Gavião-Pyhcopji,MOVE,k ɔ̤ː p i n,982
1519,Mẽbêngôkre,FART,i p ɛ,535
1520,Mẽbêngôkre,FART,p ɛ k,535
1521,Apinayé,FART,i c p ɛ,535
1522,Apinayé,FART,p ɛ k,535
1523,Kĩsêdjê,FART,i h w ɛ,535
1524,Kĩsêdjê,FART,h w ɛ k,535
1525,Tapayúna,FART,h w ɛ k,535
1526,Parkatêjê,FART,p ɛ k,535
1527,Canela-Krahô,FART,p ɛ k,535
1528,Gavião-Pyhcopji,FART,p i k,535
1529,Mẽbêngôkre,WORK,a + p ɛ,1730
1530,Mẽbêngôkre,WORK,ĵ ɜ + p ɛ ɲ,1730
1531,Apinayé,WORK,a + p ɛ,1730
1532,Apinayé,WORK,c ɜ + p ɛ ɲ,1730
1533,Kĩsêdjê,WORK,a + h w ɛ,1730
1534,Kĩsêdjê,WORK,t ɜ + h w ɛ n,1730
1535,Tapayúna,WORK,t ɜ + h w ɛ j,1730
1536,Canela-Krahô,WORK,a p ɛ,1731
1537,Canela-Krahô,WORK,j ɜ p ɛ n,1732
1538,Gavião-Pyhcopji,FISH,aː p i,575
1539,Gavião-Pyhcopji,WORK,j ɜː p i n,1732
1540,Mẽbêngôkre,FINISH,a p ɛ c,562
1541,Mẽbêngôkre,FINISH,j a p ɛ c,562
1542,Apinayé,FINISH,j a p ɛ c,562
1543,Kĩsêdjê,FINISH,j a h w ɛ t,562
1544,Parkatêjê,FINISH,j a p ɛ j,562
1545,Parkatêjê,FINISH,a p ɛ j,562
1546,Canela-Krahô,FINISH,j a p ɛ j,562
1547,Mẽbêngôkre,DO,ɲ i p ɛ c,442
1548,Apinayé,DO,ɲ i p ɛ c,442
1549,Kĩsêdjê,DO,ɲ ĩ h w ɛ t,442
1550,Tapayúna,DO,ɲ ĩ h w ɛ t,442
1551,Parkatêjê,DO,j i p ɛ j,442
1552,Canela-Krahô,DO,j i p ɛ j,442
1553,Gavião-Pyhcopji,DO,j ẽ̤ p i s,442
1554,Mẽbêngôkre,SHOULDER CARRY,ĵ u p î,1341
1555,Mẽbêngôkre,SHOULDER CARRY,ĵ u p j ɛ r,1341
1556,Parkatêjê,SHOULDER CARRY,j õ p j ɛ,1341
1557,Parkatêjê,SHOULDER CARRY,j õ p j ɛ r,1341
1558,Canela-Krahô,SHOULDER CARRY,j ũ ʔ p j ɛ,1341
1559,Canela-Krahô,SHOULDER CARRY,j ũ ʔ p j ɛ r,1341
1560,Gavião-Pyhcopji,SHOULDER CARRY,j õ̤ ʔ p j i,1341
1561,Gavião-Pyhcopji,SHOULDER CARRY,j õ̤ ʔ p j i r,1341
1562,Mẽbêngôkre,BELT,k u p i p,169
1563,Apinayé,BELT,k u p ĩ p,169
1564,Canela-Krahô,BELT,k ɔ ʔ p i p,169
1565,Gavião-Pyhcopji,BELT,k u ʔ p ẽ̤ p,169
1566,Mẽbêngôkre,TREE,p ĩ,1605
1567,Apinayé,TREE,p ĩ,1605
1568,Kĩsêdjê,TREE,h w ĩ,1605
1569,Tapayúna,TREE,h w ĩ,1605
1570,Parkatêjê,TREE,p ĩ,1605
1571,Canela-Krahô,TREE,p ĩ,1605
1572,Gavião-Pyhcopji,TREE,p ẽ,1605
1573,Mẽbêngôkre,WOOD,p ĩ,1727
1574,Apinayé,WOOD,p ĩ,1727
1575,Kĩsêdjê,WOOD,h w ĩ,1727
1576,Tapayúna,WOOD,h w ĩ,1727
1577,Parkatêjê,WOOD,p ĩ,1727
1578,Canela-Krahô,WOOD,p ĩ,1727
1579,Gavião-Pyhcopji,WOOD,p ẽ,1727
1580,Mẽbêngôkre,FIREWOOD,p ĩ,572
1581,Apinayé,FIREWOOD,p ĩ,572
1582,Kĩsêdjê,FIREWOOD,h w ĩ,572
1583,Tapayúna,FIREWOOD,h w ĩ,572
1584,Parkatêjê,FIREWOOD,p ĩ,572
1585,Canela-Krahô,FIREWOOD,p ĩ,572
1586,Gavião-Pyhcopji,FIREWOOD,p ẽ,572
1587,Mẽbêngôkre,POUR,k a p ĩ,1161
1588,Mẽbêngôkre,POUR,k a p ĩ n,1161
1589,Apinayé,POUR,k a p ĩ,1161
1590,Apinayé,POUR,k a p ĩ,1161
1591,Canela-Krahô,SHAKE,k a p ĩ,1322
1592,Canela-Krahô,POUR,k a p ĩ,1161
1593,Gavião-Pyhcopji,POUR,k aː p ẽ̤,1161
1594,Gavião-Pyhcopji,POUR,k aː p ẽ̤ r,1161
1595,Mẽbêngôkre,EMBER,prɜ,501
1596,Apinayé,EMBER,prɜ,501
1597,Kĩsêdjê,EMBER,hrɜ,501
1598,Kĩsêdjê,CINDER,sa-hrɜ,308
1599,Tapayúna,CINDER,hrɜ,309
1600,Parkatêjê,EMBER,prɜ,501
1601,Parkatêjê,EMBER,a-prɜ,502
1602,Parkatêjê,COAL,ha-prɜ,327
1603,Canela-Krahô,EMBER,prɜ,501
1604,Canela-Krahô,COAL,aʔ-prɜ,326
1605,Canela-Krahô,COAL,haʔ-prɜ,327
1606,Gavião-Pyhcopji,EMBER,prɜː,501
1607,Mẽbêngôkre,LIT,prɜ,883
1608,Apinayé,LIT,prɜ,883
1609,Kĩsêdjê,LIT,hrɜ,883
1610,Parkatêjê,LIT,prɜ,883
1611,Parkatêjê,LIT,a-prɜ,884
1612,Canela-Krahô,LIT,prɜ,883
1613,Gavião-Pyhcopji,LIT,prɜː,883
1614,Mẽbêngôkre,REMAIN,j a + p r ɜ̃,1221
1615,Mẽbêngôkre,REMAIN,j a + p r ɜ̃ r,1221
1616,Apinayé,REMAIN,p r ɜ̃,1221
1617,Apinayé,REMAIN,p r ɜ̃ r,1221
1618,Kĩsêdjê,REMAIN,h r ɜ̃,1221
1619,Parkatêjê,REMAIN,p r ɜ̃ r,1221
1620,Canela-Krahô,REMAIN,p r ɜ̃,1221
1621,Canela-Krahô,REMAIN,p r ɜ̃ r,1221
1622,Parkatêjê,CHALLENGE,p r ɜ̃ː,282
1623,Mẽbêngôkre,MISS,a p r ɜ̃,955
1624,Mẽbêngôkre,SEARCH,ĵ ɜ p r ɜ̃ r,1306
1625,Kĩsêdjê,SEARCH,a h r ɜ̃,1306
1626,Parkatêjê,BRAVE,j ɜ p r ɜ̃ r,217
1627,Canela-Krahô,SEARCH,a p r ɜ̃,1306
1628,Canela-Krahô,SEARCH,j ɜ p r ɜ̃ r,1306
1629,Gavião-Pyhcopji,SEARCH,aː p r ɜ̃ː,1306
1630,Gavião-Pyhcopji,SEARCH,j ɜː p r ɜ̃ː,1306
1631,Mẽbêngôkre,EMPTY,k a p r ɜ̃,504
1632,Mẽbêngôkre,EMPTY,k a p r ɜ̃ r,504
1633,Apinayé,EMPTY,k a p r ɜ̃,504
1634,Apinayé,EMPTY,k a p r ɜ̃ r,504
1635,Kĩsêdjê,EMPTY,k a h r ɜ̃,504
1636,Parkatêjê,EMPTY,k a p r ɜ̃,504
1637,Parkatêjê,EMPTY,k a p r ɜ̃ r,504
1638,Canela-Krahô,EMPTY,k a p r ɜ̃,504
1639,Canela-Krahô,EMPTY,k a p r ɜ̃ r,504
1640,Gavião-Pyhcopji,EMPTY,k a p r ɜ̃ː,504
1641,Gavião-Pyhcopji,EMPTY,k a p r ɜ̃ː,504
1642,Mẽbêngôkre,HUNGER,p r ɜ̃ m,760
1643,Apinayé,HUNGER,p r ɜ̃ m,760
1644,Kĩsêdjê,HUNGER,h r ɜ̃ m,760
1645,Tapayúna,HUNGER,h r ɜ̃ w,760
1646,Parkatêjê,HUNGER,p r ɜ̃ m,760
1647,Canela-Krahô,HUNGER,p r ɜ̃ m,760
1648,Gavião-Pyhcopji,HUNGER,p r ɜ̃ m,760
1649,Mẽbêngôkre,WANT,p r ɜ̃ m,1661
1650,Apinayé,WANT,p r ɜ̃ m,1661
1651,Kĩsêdjê,WANT,h r ɜ̃ m,1661
1652,Tapayúna,WANT,h r ɜ̃ w,1661
1653,Parkatêjê,WANT,p r ɜ̃ m,1661
1654,Canela-Krahô,WANT,p r ɜ̃ m,1661
1655,Gavião-Pyhcopji,WANT,p r ɜ̃ m,1661
1656,Mẽbêngôkre,TORTOISE,k a p r ɜ̃ n,1594
1657,Apinayé,TORTOISE,k a p r ɜ̃ n,1594
1658,Kĩsêdjê,TORTOISE,k a h r ɜ̃ n,1594
1659,Tapayúna,TORTOISE,k a h r ɜ̃ + c i,1594
1660,Tapayúna,TORTOISE,k a h r ɜ̃ + m + c i,1594
1661,Parkatêjê,TORTOISE,k a p r ɜ n,1594
1662,Canela-Krahô,TORTOISE,k a p r ɜ̃ n,1594
1663,Gavião-Pyhcopji,TORTOISE,k a p r ɜ̃ n,1594
1664,Mẽbêngôkre,CORN HUSKS,p r ɜ̂,356
1665,Apinayé,PITY,p r ɜ̂,1132
1666,Canela-Krahô,PITY,p r ɜ̂,1132
1667,Gavião-Pyhcopji,PITY,p r ɨ,1132
1668,Apinayé,PITY,p r ɜ̂,1132
1669,Canela-Krahô,PITY,p r ɜ̂,1132
1670,Gavião-Pyhcopji,PITY,p r ɨ,1132
1671,Mẽbêngôkre,CURSE,j a p r ɜ̂,386
1672,Apinayé,BLAME,j a p r ɜ̂,194
1673,Kĩsêdjê,PLAY,j a h r ɜ̂,1145
1674,Canela-Krahô,NAME,j a p r ɜ̂,997
1675,Gavião-Pyhcopji,PLAY,j a p r ɨ,1145
1676,Mẽbêngôkre,EMPTY,k a p r ɜ̂,504
1677,Apinayé,EMPTY,k a p r ɜ̂,504
1678,Kĩsêdjê,EMPTY,k a h r ɜ̂,504
1679,Tapayúna,EMPTY,k a h r ɜ̂,504
1680,Parkatêjê,EMPTY,k a p r ɜ̂,504
1681,Canela-Krahô,EMPTY,k a p r ɜ̂,504
1682,Gavião-Pyhcopji,EMPTY,k a p r ɨ,504
1683,Mẽbêngôkre,SINGLE WOMAN,k u p r ɜ̂,1350
1684,Apinayé,SINGLE WOMAN,k u p r ɜ,1350
1685,Canela-Krahô,SINGLE WOMAN,k u p r ɜ̂,1350
1686,Gavião-Pyhcopji,SINGLE WOMAN,k ɔ̤ p r ɨ,1350
1687,Mẽbêngôkre,PATH,p r ɨ,1086
1688,Apinayé,PATH,p r ɨ,1086
1689,Kĩsêdjê,PATH,h r ɨ,1086
1690,Tapayúna,PATH,h r ɨ,1086
1691,Parkatêjê,PATH,p r ɨ,1086
1692,Canela-Krahô,PATH,p r ɨ,1086
1693,Gavião-Pyhcopji,PATH,p r ɜ̤ː,1086
1694,Mẽbêngôkre,COVER,p r ɔ,363
1695,Apinayé,COVER,p r ɔ,363
1696,Kĩsêdjê,COVER,h r ɔ,363
1697,Tapayúna,COVER,h r ɔ,363
1698,Parkatêjê,COVER,p r ɔ,363
1699,Parkatêjê,COVER,p r ɔ r,363
1700,Canela-Krahô,COVER,p r ɔ,363
1701,Gavião-Pyhcopji,COVER,p r ɔ:,363
1702,Mẽbêngôkre,WIFE,p r õ,1708
1703,Apinayé,WIFE,p r õ,1708
1704,Kĩsêdjê,WIFE,h r õ,1708
1705,Tapayúna,WIFE,h r õ,1708
1706,Parkatêjê,WIFE,p r õ,1708
1707,Canela-Krahô,WIFE,p r õ,1708
1708,Gavião-Pyhcopji,WIFE,p r õ,1708
1709,Mẽbêngôkre,COLLECT,k u p r õ,339
1710,Mẽbêngôkre,COLLECT,k u p r õ ɲ,339
1711,Apinayé,COLLECT,k u p r õ,339
1712,Apinayé,COLLECT,k u p r õ ɲ,339
1713,Kĩsêdjê,COLLECT,a + kʰ r õ,339
1714,Kĩsêdjê,COLLECT,w i + kʰ r õ n,339
1715,Parkatêjê,COLLECT,k u p r õ,339
1716,Canela-Krahô,COLLECT,k u p r õ,339
1717,Canela-Krahô,COLLECT,k u p r õ n,339
1718,Gavião-Pyhcopji,COLLECT,k ɔ̤ː p r õ,339
1719,Gavião-Pyhcopji,COLLECT,k ɔ̤ː p r õ n,339
1720,Mẽbêngôkre,RUN,p r õ t,1270
1721,Apinayé,RUN,p r õ t,1270
1722,Kĩsêdjê,RUN,h r õ n,1270
1723,Tapayúna,RUN,h r õ t,1270
1724,Parkatêjê,EVERYWHERE,p r õ t,522
1725,Canela-Krahô,RUN (PLURAL),p r õ t,1273
1726,Gavião-Pyhcopji,ESCAPE (PLURAL),p r õ t,520
1727,Mẽbêngôkre,FLOAT,p r õ r + p r õ t,584
1728,Apinayé,SHAKE,p r õ + p r õ t,1321
1729,Parkatêjê,BUBBLE,p r õ + p r õ t,234
1730,Canela-Krahô,BUBBLE,p r õ r + p r õ t,234
1731,Gavião-Pyhcopji,BUBBLE,p r õː + p r õ t,234
1732,Mẽbêngôkre,TAKE,j a p r ɔ,1515
1733,Mẽbêngôkre,TAKE,j a p r ɔ r,1515
1734,Apinayé,BUY,j a p r ɔ,252
1735,Apinayé,TAKE,j a p r ɔ r,1515
1736,Parkatêjê,BUY,j a p r ɔ,252
1737,Parkatêjê,TAKE,j a p r ɔ r,1515
1738,Canela-Krahô,BUY,j a p r ɔ,252
1739,Canela-Krahô,TAKE,j a p r ɔ r,1515
1740,Gavião-Pyhcopji,TAKE,j a p r uː,1515
1741,Mẽbêngôkre,TIED,p r ɛ,1573
1742,Apinayé,TIED,p r ɛ,1573
1743,Parkatêjê,TIED,p r ɛ,1573
1744,Parkatêjê,TIED,p r ɛ r,1573
1745,Canela-Krahô,TIED,p r ɛ,1573
1746,Gavião-Pyhcopji,TIED,p r ɛ:,1573
1747,Mẽbêngôkre,TIE,k a j + p r ɛ,1571
1748,Apinayé,TIE,k a c + p r ɛ,1571
1749,Canela-Krahô,TIE,k a j + p r ɛ,1571
1750,Mẽbêngôkre,TALL,p r ɛ k,1519
1751,Apinayé,TALL,p r ɛ k,1519
1752,Kĩsêdjê,TALL,h r ɛ k,1519
1753,Tapayúna,TALL,p r ɛ k,1519
1754,Parkatêjê,SHORT,p r ɛ k,1339
1755,Canela-Krahô,TALL,p r ɛ k,1519
1756,Gavião-Pyhcopji,TALL,p r i k,1519
1757,Mẽbêngôkre,SPANK,k a p r ɛ p r ɛ k,1421
1758,Apinayé,SPANK,k a p r ɛ p r ɛ k,1421
1759,Kĩsêdjê,SPANK,k a h r ɛ r ɛ k,1421
1760,Tapayúna,SPANK,k a h r ɛ,1421
1761,Tapayúna,SPANK,k a h r ɛ h r ɛ,1421
1762,Parkatêjê,SPANK,k a p r ɛ k,1421
1763,Parkatêjê,SPANK,k a p r ɛ p r ɛ k,1421
1764,Canela-Krahô,SPANK,k a p r ɛ k,1421
1765,Gavião-Pyhcopji,SPANK,k a p r iː p r i k,1421
1766,Mẽbêngôkre,LOW,p r ĩ,912
1767,Apinayé,LOW,p r ĩ,912
1768,Parkatêjê,LOW,p r ĩ,912
1769,Canela-Krahô,SLOW,p r ĩ,1378
1770,Gavião-Pyhcopji,SLOW,p r ɛ̤̃ ʔ + n ɜ̃,1378
1771,Mẽbêngôkre,SLOW,a p r ĩ,1378
1772,Apinayé,SLOW,a p r ĩ,1378
1773,Kĩsêdjê,SLOW,a h r ĩ + r ɔ,1378
1774,Tapayúna,SLOW,a h r ĩ + r ɔ,1378
1775,Parkatêjê,SLOW,a p r ĩ,1378
1776,Gavião-Pyhcopji,SLOW,aː p r ɛ̤̃ ʔ + n ɜ̃,1378
1777,Mẽbêngôkre,CAREFULLY,a p r ĩ,268
1778,Apinayé,CAREFULLY,a p r ĩ,268
1779,Kĩsêdjê,CAREFULLY,a h r ĩ + r ɔ,268
1780,Tapayúna,CAREFULLY,a h r ĩ + r ɔ,268
1781,Parkatêjê,CAREFULLY,a p r ĩ,268
1782,Gavião-Pyhcopji,CAREFULLY,aː p r ɛ̤̃ ʔ + n ɜ̃,268
1783,Mẽbêngôkre,SAD,k a p r ĩ,1275
1784,Apinayé,SAD,k a p r ĩ,1275
1785,Kĩsêdjê,SAD,k a h r ĩ,1275
1786,Tapayúna,SAD,k a h r ĩ,1275
1787,Parkatêjê,SAD,k a p r ĩ,1275
1788,Canela-Krahô,SAD,k a p r ĩ,1275
1789,Gavião-Pyhcopji,SAD,k a p r ɛ̤̃ː + r ɛ,1275
1790,Gavião-Pyhcopji,SAD,k a p r ĩː + r ɛ,1275
1791,Mẽbêngôkre,PEQUI,p r ĩ n,1111
1792,Apinayé,PEQUI,p r ĩ n,1111
1793,Kĩsêdjê,PEQUI,h w ĩ n,1111
1794,Parkatêjê,PIQUIÁ,p r ĩ n + t i,1126
1795,Canela-Krahô,PEQUI,p r ĩ n,1111
1796,Gavião-Pyhcopji,PEQUI,p r ɛ̤̃ n,1111
1797,Mẽbêngôkre,LIVER,m a,886
1798,Apinayé,LIVER,m b a,886
1799,Kĩsêdjê,LIVER,m b a,886
1800,Tapayúna,LIVER,w̃ a,886
1801,Parkatêjê,LIVER,p a,886
1802,Canela-Krahô,LIVER,p a,886
1803,Gavião-Pyhcopji,LIVER,p a,886
1804,Mẽbêngôkre,OPEN,m a,1043
1805,Mẽbêngôkre,OPEN,m a r,1043
1806,Apinayé,OPEN,m b a,1043
1807,Apinayé,OPEN,m b a r,1043
1808,Kĩsêdjê,OPEN,m b a,1043
1809,Kĩsêdjê,OPEN,m b a j,1043
1810,Tapayúna,OPEN,w̃ a,1043
1811,Tapayúna,OPEN,w̃ a j,1043
1812,Parkatêjê,OPEN,k ɜ̃ m + p a,1044
1813,Parkatêjê,OPEN,k ɜ̃ m + p a r,1044
1814,Canela-Krahô,OPEN,p a,1043
1815,Canela-Krahô,OPEN,p a r,1043
1816,Gavião-Pyhcopji,OPEN,a p a,1043
1817,Gavião-Pyhcopji,OPEN,p a r,1043
1818,Mẽbêngôkre,UNDERSTAND,m a,1630
1819,Mẽbêngôkre,UNDERSTAND,m a r,1630
1820,Apinayé,UNDERSTAND,m b a,1630
1821,Apinayé,UNDERSTAND,m b a r,1630
1822,Kĩsêdjê,UNDERSTAND,m b a,1630
1823,Kĩsêdjê,UNDERSTAND,m b a j,1630
1824,Tapayúna,UNDERSTAND,w̃ a,1630
1825,Tapayúna,UNDERSTAND,w̃ a j,1630
1826,Parkatêjê,UNDERSTAND,k ɜ̃ m + p a,1631
1827,Parkatêjê,UNDERSTAND,k ɜ̃ m + p a r,1631
1828,Canela-Krahô,UNDERSTAND,p a,1630
1829,Canela-Krahô,UNDERSTAND,p a r,1630
1830,Gavião-Pyhcopji,UNDERSTAND,a p a,1630
1831,Gavião-Pyhcopji,UNDERSTAND,p a r,1630
1832,Mẽbêngôkre,MISS,a m/b a,956
1833,Mẽbêngôkre,LISTEN,a m/b a k,881
1834,Apinayé,LISTEN,a m/b a,881
1835,Apinayé,LISTEN,a m/b a k,881
1836,Apinayé,LISTEN,j a m/b a k,881
1837,Kĩsêdjê,LISTEN,r ɔ + a m/b a,881
1838,Kĩsêdjê,LISTEN,r ɔ + a m/b a k,881
1839,Parkatêjê,LISTEN,t ɔ + j a p a k,881
1840,Canela-Krahô,LISTEN,t ɔ + a p a,881
1841,Canela-Krahô,LISTEN,t ɔ + h + a p a k,881
1842,Gavião-Pyhcopji,LISTEN,t ɔ + p a,881
1843,Gavião-Pyhcopji,LISTEN,t ɔ + j a p a k,881
1844,Mẽbêngôkre,REMEMBER,a m/b a k,1224
1845,Apinayé,REMEMBER,a m/b a,1224
1846,Apinayé,REMEMBER,a m/b a k,1224
1847,Apinayé,REMEMBER,j a m/b a k,1224
1848,Kĩsêdjê,REMEMBER,r ɔ + a m/b a,1224
1849,Kĩsêdjê,REMEMBER,r ɔ + a m/b a k,1224
1850,Parkatêjê,REMEMBER,t ɔ + j a p a k,1224
1851,Canela-Krahô,REMEMBER,t ɔ + a p a,1224
1852,Canela-Krahô,REMEMBER,t ɔ + h + a p a k,1224
1853,Gavião-Pyhcopji,REMEMBER,t ɔ + p a,1224
1854,Gavião-Pyhcopji,REMEMBER,t ɔ + j a p a k,1224
1855,Mẽbêngôkre,EAR,j a m a k,478
1856,Apinayé,EAR,j a m/b a k,478
1857,Parkatêjê,EAR,j a p a k,478
1858,Canela-Krahô,EAR,j a p a k,478
1859,Gavião-Pyhcopji,EAR,j a p a k,478
1860,Mẽbêngôkre,FEAR,p ɨ m a,550
1861,Mẽbêngôkre,FEAR,ĵ u m a,550
1862,Apinayé,FEAR,p ɨ m/b a,550
1863,Kĩsêdjê,FEAR,w ɨ m/b a,550
1864,Tapayúna,FEAR,w̃ a,550
1865,Parkatêjê,FEAR,p a,550
1866,Canela-Krahô,FEAR,p a,550
1867,Gavião-Pyhcopji,FEAR,p a,550
1868,Mẽbêngôkre,CRAB,m a j,366
1869,Apinayé,CRAB,m/b a j,366
1870,Canela-Krahô,CRAB,p a j,366
1871,Mẽbêngôkre,SCORPION,m a k,1291
1872,Apinayé,SCORPION,m/b a k + r ɛ,1291
1873,Tapayúna,SCORPION,w̃ a t,1292
1874,Canela-Krahô,SCORPION,p a k,1291
1875,Gavião-Pyhcopji,SCORPION,p a k + r ɛ,1291
1876,Gavião-Pyhcopji,SCORPION,p a k + t ɛ̤,1291
1877,Mẽbêngôkre,JAW,j a m a,806
1878,Apinayé,CHIN,ɲ ã m,302
1879,Parkatêjê,CHIN,j a m a,303
1880,Canela-Krahô,CHIN,j a m a,303
1881,Gavião-Pyhcopji,CHIN,j a m a,303
1882,Mẽbêngôkre,BEARD,j a m a + ɔ,148
1883,Apinayé,BEARD,j a m/b + ɔ,148
1884,Kĩsêdjê,BEARD,j a m + s ɔ,148
1885,Tapayúna,BEARD,j a m + t ɔ,148
1886,Parkatêjê,BEARD,j a m a + h ɔ,148
1887,Canela-Krahô,BEARD,j a m a + h ɔ,148
1888,Parkatêjê,EAT (INTRANSITIVE),ɜ + p ɜ,485
1889,Parkatêjê,EAT (INTRANSITIVE),j ɜ + p ɜ n,485
1890,Canela-Krahô,EAT (INTRANSITIVE),a + p ɜ,485
1891,Canela-Krahô,EAT (INTRANSITIVE),j ɜ + p ɜ n,485
1892,Gavião-Pyhcopji,EAT (INTRANSITIVE),aː + p ɜ,485
1893,Gavião-Pyhcopji,EAT (INTRANSITIVE),j ɜː + p ɜ n,485
1894,Mẽbêngôkre,GNAW,k u m ɜ,643
1895,Mẽbêngôkre,GNAW,k u m ɜ ɲ,643
1896,Apinayé,GNAW,k u m/b ɜ,643
1897,Apinayé,GNAW,k u m/b ɜ ɲ,643
1898,Parkatêjê,GNAW,k u p ɜ,643
1899,Parkatêjê,GNAW,k u p ɜ j,643
1900,Canela-Krahô,GNAW,k u p ɜ,643
1901,Canela-Krahô,GNAW,k u p ɜ n,643
