id,doculect,concept,forms,lexstatid
51,Ingain,GO (PLURAL),m õ,647
52,Kaingang,GO (PLURAL),m ũ,647
53,Xokleng,GO (PLURAL),m ũ,647
54,Ingain,GOOD,m/b ɛ,657
55,Kaingang,GOOD,m/b ɛ,657
56,Xokleng,GOOD,m/b ɛ,657
57,Ingain,SKY,r a u + m/b ɛ,1362
58,Kaingang,SKY,ẽ + m/b ɛ,1362
59,Kaingang,THROW,m ĩ,1559
60,Kaingang,THROW,m ĩ n,1559
61,Kaingang,AXE,m/b ɛ ŋ,92
62,Xokleng,AXE,m/b ɛ ŋ,92
63,Kaingang,LIQUID,m/b e,875
64,Xokleng,LIQUID,m/b e,875
65,Kaingang,HUSBAND,m/b ɛ n,767
66,Xokleng,HUSBAND,m/b ɛ n,767
67,Ingain,ASH,m/b r a,84
68,Kaingang,ASH,m r ẽ j,84
69,Xokleng,ASH,m l ã,84
70,Kaingang,ARGENTINIAN ANT,m/b r ɔ ŋ j ɨ,61
71,Kaingang,COUSIN,j a m/b r ɛ,362
72,Kaingang,GENRE,j a m/b r ɛ,629
73,Kaingang,BROTHER-IN-LAW,j ɔ m/b l ɛ,233
74,Xokleng,FATHER-IN-LAW,j ɔ m/b l ɛ,548
75,Xokleng,MOTHER-IN-LAW,j ɔ m/b l ɛ,972
76,Kaingang,WALK,w ẽ,1658
77,Xokleng,WALK,v ã,1658
78,Kaingang,ROTTEN,w ɜ,1261
79,Ingain,TAQUARA,w ɜ n,1526
80,Kaingang,TREE,w õ n,1607
81,Xokleng,TREE,w a n,1607
82,Kaingang,PICK UP,w ɨ n,1117
83,Xokleng,PICK UP,w a n,1117
84,Kaingang,UNTIE,k a w a,1635
85,Kaingang,SHOW,w ĩ,1343
86,Xokleng,SHOW,v ẽ,1343
87,Kaingang,NEW,t õ ŋ,1017
88,Xokleng,NEW,t a ŋ,1017
89,Kaingang,STRONG,t a r,1484
90,Xokleng,STRONG,t ɔ l,1484
91,Ingain,CAPYBARA,k r a ŋ n/d a ŋ,264
92,Kaingang,CAPYBARA,k r ɨ ŋ n/d ɨ ŋ,264
93,Xokleng,LOWLAND PACA,k l ɨ ŋ n/d ɨ ŋ,913
94,Ingain,DIE,n d a,429
95,Kaingang,DIE,t ɨ,429
96,Xokleng,DIE,t ɨ,429
97,Ingain,DARKNESS,k u n d a,410
98,Ingain,MIDNIGHT,k u n d a,950
99,Kaingang,BLACK,k u t ɨ,187
100,Xokleng,BLACK,k u t ɨ,187
101,Kaingang,FLY,t ɛ̃,593
102,Xokleng,APPROACH,t ã,59
103,Ingain,TONGUE,n ũ n d a,1583
104,Kaingang,TONGUE,n ũ n ẽ,1583
105,Xokleng,TONGUE,n ũ n ã,1583
106,Ingain,FAT,n/d a u ŋ,537
107,Ingain,DRILL FAT,ĵ u + ŋ g ɜ + n/d a u ŋ,460
108,Kaingang,FAT,t õ ŋ,537
109,Xokleng,FAT,t a ŋ,537
110,Kaingang,LOAD,t u,889
111,Xokleng,LOAD,t u,889
112,Ingain,CULEX,p/V n/d u,382
113,Kaingang,HORSEFLY,p õ t u,752
114,Xokleng,HORSEFLY,p a t u,752
115,Kaingang,ANCIENT,t ɔ ŋ,47
116,Xokleng,ANCIENT,t a ŋ,47
117,Kaingang,DOVE,t o n,447
118,Ingain,GO (SINGULAR),t ẽ,648
119,Kaingang,GO (SINGULAR),t ĩ,648
120,Kaingang,GO (SINGULAR),t ĩ ŋ,648
121,Xokleng,GO (SINGULAR),t ẽ,648
122,Xokleng,GO (SINGULAR),t ẽ ŋ,648
123,Ingain,DIE,n d e r,429
124,Kaingang,BURN,t e r,240
125,Xokleng,BURN,t e l,240
126,Ingain,DREAM,jVndi,453
127,Kaingang,DREAM,p ɛ t i,452
128,Kaingang,DREAM,j õ t i,452
129,Xokleng,DREAM,v ã ɲ + m/b i [ŋ] t i,456
